epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4012,1.09422,4.7376,1.60017,0.00202,0.97222,0.64053,0.46074,0.65292,21.8733,1.06388,0.000543319,0.000543319,0.000543319
2,41.3371,0.89874,3.04083,1.33594,0.96642,0.19303,0.38168,0.18756,0.78761,15.5244,1.18276,0.000990186,0.000990186,0.000990186
3,57.4975,0.92104,2.71474,1.34124,0.64937,0.56851,0.6268,0.45409,0.81292,13.8919,1.1339,0.00132703,0.00132703,0.00132703
4,74.8859,0.88853,2.3005,1.27461,0.76193,0.6155,0.68827,0.53182,0.77078,10.6274,1.10933,0.0011719,0.0011719,0.0011719
5,91.0267,0.8514,1.70376,1.2542,0.96663,0.83163,0.89653,0.70784,0.72565,9.43155,1.03779,0.00100687,0.00100687,0.00100687
6,108.064,0.80928,1.41208,1.21104,0.95282,0.90664,0.94607,0.74406,0.65624,6.44628,0.96924,0.000841835,0.000841835,0.000841835
7,125.008,0.78428,1.22465,1.19463,0.97357,0.84245,0.93316,0.73321,0.63227,3.64744,0.93842,0.000676802,0.000676802,0.000676802
8,141.665,0.71258,1.06958,1.14103,0.97866,0.92424,0.94628,0.73284,0.63344,2.04467,0.98103,0.000511769,0.000511769,0.000511769
9,158.651,0.68528,1.10238,1.10183,0.99295,0.93561,0.95419,0.77969,0.59567,2.75083,0.91228,0.000346736,0.000346736,0.000346736
10,175.717,0.63903,0.92497,1.09157,0.99544,0.93318,0.95319,0.80489,0.55558,1.57316,0.88071,0.000181703,0.000181703,0.000181703
